velocity_X,Y,agent_skin,velocity_Z,X,pitch,yaw,Z,velocity_Y,tick,steamid,name
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,41,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,41,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,41,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,41,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,41,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,41,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,41,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,42,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,42,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,42,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,42,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,42,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,42,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,42,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,42,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,42,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,42,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,43,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,43,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,43,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,43,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,43,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,43,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,43,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,43,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,43,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,43,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,44,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,44,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,44,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,44,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,44,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,44,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,44,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,44,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,44,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,44,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,45,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,45,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,45,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,45,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,45,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,45,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,45,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,45,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,45,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,45,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,46,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,46,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,46,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,46,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,46,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,46,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,46,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,46,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,46,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,46,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,47,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,47,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,47,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,47,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,47,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,47,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,47,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,47,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,47,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,47,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,48,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,48,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,48,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,48,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,48,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,48,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,48,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,48,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,48,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,48,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,49,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,49,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,49,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,49,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,49,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,49,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,49,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,49,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,49,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,49,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,50,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,50,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,50,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,50,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,50,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,50,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,50,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,50,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,50,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,50,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,51,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,51,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,51,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,51,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,51,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,51,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,51,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,51,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,51,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,51,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,52,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,52,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,52,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,52,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,52,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,52,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,52,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,52,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,52,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,52,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,53,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,53,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,53,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,53,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,53,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,53,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,53,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,53,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,53,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,53,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,54,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,54,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,54,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,54,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,54,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,54,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,54,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,54,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,54,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,54,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,55,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,55,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,55,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,55,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,55,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,55,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,55,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,55,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,55,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,55,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,56,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,56,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,56,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,56,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,56,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,56,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,56,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,56,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,56,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,56,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,57,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,57,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,57,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,57,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,57,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,57,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,57,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,57,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,57,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,57,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,58,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,58,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,58,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,58,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,58,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,58,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,58,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,58,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,58,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,58,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,59,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,59,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,59,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,59,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,59,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,59,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,59,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,59,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,59,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,59,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,60,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,60,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,60,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,60,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,60,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,60,76561199557907229,shawty#)$@
0.0,1991.0704,customplayer_t_map_based,0.0,489.92978,79.59836,55.548584,132.53125,0.0,60,76561198049602148,Moon
0.0,2333.2341,customplayer_ct_map_based,0.0,359.003,-0.1387024,-154.91272,-119.11853,0.0,60,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,60,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,60,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,61,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,61,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,61,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,61,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,61,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,61,76561199557907229,shawty#)$@
